StudentID,Year,Term,Course,FinalGrade
S12912,2039,Fall,MATH101,84.8
S11926,2034,Spring,HIST205,63.8
S10209,2026,Spring,CHEM120,100.0
S11678,2033,Spring,ECON210,90.7
S10944,2029,Summer,ECON210,92.1
S12944,2039,Summer,ECON210,93.3
S11513,2032,Fall,ECON210,66.4
S11544,2032,Spring,MATH101,76.5
S10155,2025,Fall,HIST205,66.3
S12873,2039,Summer,ENG201,86.0
S12161,2035,Fall,ENG201,87.3
S10039,2025,Spring,ECON210,73.6
S10322,2026,Spring,BIO110,66.8
S11855,2034,Spring,BIO110,78.6
S11101,2030,Spring,MATH101,55.5
S10343,2026,Fall,BIO110,69.3
S13183,2040,Fall,HIST205,89.4
S11969,2034,Fall,HIST205,93.1
S10368,2026,Spring,PSY101,74.1
S12249,2036,Fall,ENG201,94.0
S10236,2026,Spring,PSY101,57.1
S12491,2037,Spring,CS150,82.5
S11464,2032,Summer,ECON210,76.7
S12331,2036,Fall,CS150,86.1
S12996,2039,Fall,PSY101,92.7
S11001,2030,Spring,CHEM120,86.1
S10180,2025,Spring,CS150,77.0
S10678,2028,Spring,BIO110,83.5
S10138,2025,Fall,CS150,78.5
S12017,2035,Spring,CS150,69.3
S10766,2028,Spring,CHEM120,75.7
S10687,2028,Summer,CS150,73.0
S11830,2034,Spring,ECON210,89.7
S12346,2036,Fall,BIO110,82.8
S11047,2030,Summer,CS150,66.1
S12275,2036,Spring,HIST205,78.0
S10917,2029,Fall,HIST205,78.8
S13160,2040,Fall,ECON210,87.1
S10712,2028,Summer,CHEM120,71.6
S12910,2039,Spring,CHEM120,86.4
S11896,2034,Spring,BIO110,81.9
S12575,2037,Spring,HIST205,79.1
S10012,2025,Fall,HIST205,73.9
S10980,2029,Summer,CHEM120,83.6
S10760,2028,Summer,ECON210,71.4
S11955,2034,Fall,ECON210,95.0
S10591,2027,Spring,MATH101,70.8
S12621,2038,Spring,CS150,95.6
S12477,2037,Summer,MATH101,99.6
S11476,2032,Fall,MATH101,80.4
S13126,2040,Summer,HIST205,76.7
S12628,2038,Spring,ENG201,85.8
S10163,2025,Summer,HIST205,65.4
S11524,2032,Fall,ECON210,78.4
S11332,2031,Summer,PSY101,78.3
S10983,2029,Fall,CS150,77.0
S11273,2031,Spring,BIO110,77.5
S11157,2030,Fall,ENG201,96.7
S12007,2035,Summer,ECON210,78.8
S11792,2033,Spring,ENG201,81.4
S11923,2034,Summer,BIO110,85.9
S10626,2028,Spring,BIO110,68.1
S13059,2040,Summer,BIO110,88.8
S12087,2035,Summer,CHEM120,84.2
S10014,2025,Fall,PSY101,58.2
S10952,2029,Spring,PSY101,67.3
S11399,2031,Fall,BIO110,74.7
S11820,2034,Summer,CHEM120,82.9
S12208,2036,Summer,PSY101,84.2
S12298,2036,Summer,ECON210,91.9
S12580,2037,Summer,BIO110,91.0
S12927,2039,Spring,BIO110,92.4
S11035,2030,Summer,CS150,91.3
S10235,2026,Fall,BIO110,78.4
S11626,2033,Summer,CS150,79.1
S11349,2031,Summer,ECON210,78.2
S11409,2032,Spring,ECON210,79.3
S10926,2029,Spring,ENG201,72.9
S12531,2037,Spring,PSY101,80.6
S11021,2030,Spring,CHEM120,74.1
S12058,2035,Summer,ENG201,87.4
S11671,2033,Summer,CS150,79.7
S11535,2032,Spring,PSY101,68.6
S11008,2030,Spring,HIST205,87.1
S12354,2036,Summer,CS150,96.4
S11922,2034,Fall,MATH101,75.4
S11137,2030,Fall,CHEM120,68.8
S11817,2034,Spring,CHEM120,78.2
S10472,2027,Fall,PSY101,62.5
S10563,2027,Spring,HIST205,72.1
S11833,2034,Summer,HIST205,86.3
S11588,2032,Fall,HIST205,74.7
S10445,2027,Fall,PSY101,80.0
S11113,2030,Spring,PSY101,82.6
S10557,2027,Fall,BIO110,71.2
S12960,2039,Spring,BIO110,84.1
S12618,2038,Spring,ECON210,93.0
S11977,2034,Summer,MATH101,91.6
S12361,2036,Spring,BIO110,75.8
S10356,2026,Spring,CS150,73.2
S11344,2031,Summer,HIST205,87.6
S10248,2026,Fall,ENG201,87.5
S10526,2027,Fall,PSY101,61.6
S12458,2037,Summer,PSY101,92.0
S10068,2025,Fall,CS150,74.9
S11262,2031,Fall,ECON210,84.3
S12695,2038,Fall,CHEM120,100.0
S11798,2033,Summer,PSY101,91.3
S12690,2038,Summer,CS150,81.2
S11354,2031,Summer,ENG201,75.4
S11246,2031,Spring,PSY101,80.3
S11300,2031,Fall,PSY101,74.7
S12932,2039,Fall,ENG201,83.6
S10580,2027,Fall,PSY101,77.4
S11584,2032,Spring,ENG201,84.8
S11429,2032,Spring,HIST205,79.1
S13063,2040,Spring,CS150,87.8
S11981,2034,Spring,CS150,73.0
S10202,2026,Summer,BIO110,82.0
S12202,2036,Fall,HIST205,92.4
S12505,2037,Summer,MATH101,81.4
S11043,2030,Spring,PSY101,78.4
S11973,2034,Summer,CHEM120,85.6
S11904,2034,Summer,CHEM120,83.1
S12382,2036,Spring,PSY101,89.4
S11997,2034,Spring,CS150,76.9
S13023,2040,Summer,ENG201,100.0
S11297,2031,Spring,CS150,77.7
S10935,2029,Fall,BIO110,73.3
S12232,2036,Fall,PSY101,70.9
S10339,2026,Spring,PSY101,68.8
S11099,2030,Summer,ECON210,81.4
S11431,2032,Fall,ENG201,87.9
S11790,2033,Summer,MATH101,67.7
S10212,2026,Summer,CS150,81.0
S10440,2027,Fall,HIST205,77.7
S12043,2035,Spring,ECON210,86.6
S11498,2032,Fall,BIO110,89.5
S10178,2025,Spring,PSY101,69.9
S10452,2027,Summer,ECON210,66.8
S10791,2028,Summer,CHEM120,77.7
S12904,2039,Summer,PSY101,78.5
S12418,2037,Summer,HIST205,91.1
S12385,2036,Fall,MATH101,80.6
S12081,2035,Summer,MATH101,90.1
S12949,2039,Spring,ECON210,77.6
S10676,2028,Summer,MATH101,67.1
S12051,2035,Summer,CHEM120,78.4
S10592,2027,Summer,ECON210,78.5
S12562,2037,Summer,ECON210,80.6
S12523,2037,Summer,ECON210,85.5
S11624,2033,Spring,MATH101,97.7
S10857,2029,Fall,MATH101,81.1
S13156,2040,Fall,ECON210,82.1
S12085,2035,Fall,CS150,75.6
S12794,2038,Summer,PSY101,89.1
S10751,2028,Summer,ENG201,65.2
S10254,2026,Spring,CHEM120,61.2
S12350,2036,Spring,BIO110,95.1
S12968,2039,Spring,HIST205,76.1
S12713,2038,Spring,CS150,78.1
S11205,2031,Fall,PSY101,80.3
S13108,2040,Fall,CHEM120,95.6
S11486,2032,Fall,CS150,70.0
S12223,2036,Spring,CS150,85.2
S12231,2036,Spring,CHEM120,93.0
S11385,2031,Fall,PSY101,82.4
S10476,2027,Summer,HIST205,79.3
S10088,2025,Fall,BIO110,67.8
S11292,2031,Spring,CHEM120,80.0
S11976,2034,Fall,HIST205,93.0
S11621,2033,Summer,ENG201,71.2
S11795,2033,Spring,PSY101,76.7
S13001,2040,Fall,HIST205,85.1
S10741,2028,Fall,BIO110,65.8
S12732,2038,Fall,ENG201,93.8
S10655,2028,Summer,HIST205,76.5
S12529,2037,Spring,BIO110,79.0
S11726,2033,Spring,PSY101,78.4
S12262,2036,Spring,PSY101,96.6
S11557,2032,Summer,CS150,74.9
S11525,2032,Spring,ENG201,90.0
S12121,2035,Summer,HIST205,91.6
S12664,2038,Fall,ECON210,93.0
S10946,2029,Summer,ENG201,65.1
S11177,2030,Fall,PSY101,77.9
S12341,2036,Summer,CHEM120,90.0
S11213,2031,Summer,BIO110,87.2
S12225,2036,Summer,MATH101,97.2
S12093,2035,Summer,BIO110,76.2
S13069,2040,Summer,CS150,97.5
S10809,2029,Fall,ECON210,70.2
S11032,2030,Fall,ECON210,81.9
S10706,2028,Summer,CHEM120,65.8
S12517,2037,Summer,CS150,70.2
S10719,2028,Fall,PSY101,75.5
S13088,2040,Summer,PSY101,76.4
S10332,2026,Spring,CHEM120,73.9
S11050,2030,Summer,ECON210,73.7
S11462,2032,Spring,PSY101,79.7
S11499,2032,Fall,BIO110,86.1
S11638,2033,Summer,ENG201,99.2
S12391,2036,Fall,PSY101,79.2
S12527,2037,Spring,PSY101,92.9
S10792,2028,Spring,BIO110,78.2
S12325,2036,Summer,MATH101,92.0
S12330,2036,Fall,CHEM120,84.3
S12983,2039,Spring,ENG201,93.0
S12853,2039,Spring,HIST205,92.4
S10294,2026,Summer,PSY101,76.2
S12878,2039,Summer,HIST205,93.0
S10081,2025,Spring,CS150,74.9
S11667,2033,Fall,PSY101,78.6
S11552,2032,Summer,HIST205,74.3
S12072,2035,Fall,MATH101,86.0
S12956,2039,Summer,ENG201,98.1
S10671,2028,Spring,ECON210,59.4
S12274,2036,Spring,BIO110,78.0
S11459,2032,Fall,MATH101,86.7
S13075,2040,Spring,ENG201,100.0
S10789,2028,Summer,BIO110,62.7
S13127,2040,Summer,CS150,100.0
S11783,2033,Fall,ENG201,88.7
S12710,2038,Fall,PSY101,82.8
S12991,2039,Fall,HIST205,95.5
S11089,2030,Spring,BIO110,77.1
S10338,2026,Spring,CS150,76.6
S10555,2027,Spring,CHEM120,71.4
S11690,2033,Fall,CHEM120,87.4
S11192,2030,Fall,HIST205,73.9
S10777,2028,Fall,BIO110,74.0
S10234,2026,Fall,HIST205,90.5
S12218,2036,Fall,CHEM120,100.0
S10443,2027,Fall,ECON210,74.0
S10363,2026,Summer,CHEM120,76.5
S10140,2025,Fall,ECON210,73.8
S12005,2035,Spring,ENG201,87.0
S12868,2039,Fall,CHEM120,94.9
S11418,2032,Fall,BIO110,93.6
S10377,2026,Summer,ENG201,74.8
S11533,2032,Summer,ENG201,80.2
S11302,2031,Spring,CHEM120,78.6
S12295,2036,Spring,PSY101,90.8
S11158,2030,Spring,PSY101,86.5
S12283,2036,Summer,CS150,78.8
S12906,2039,Fall,CS150,87.3
S12091,2035,Spring,BIO110,87.7
S12854,2039,Spring,HIST205,100.0
S11250,2031,Fall,ECON210,82.6
S11220,2031,Summer,MATH101,70.5
S12076,2035,Spring,PSY101,90.3
S12310,2036,Spring,HIST205,84.1
S10552,2027,Fall,ECON210,84.0
S11065,2030,Summer,CHEM120,69.7
S13031,2040,Summer,PSY101,86.7
S12810,2039,Summer,ECON210,89.7
S10479,2027,Summer,CHEM120,83.6
S11979,2034,Spring,CS150,87.3
S12743,2038,Summer,PSY101,93.8
S12742,2038,Fall,CS150,89.7
S12144,2035,Spring,PSY101,83.5
S12937,2039,Fall,BIO110,88.8
S12757,2038,Spring,HIST205,83.3
S10984,2029,Summer,BIO110,77.3
S11769,2033,Summer,BIO110,87.1
S11577,2032,Fall,ENG201,90.7
S11376,2031,Summer,HIST205,74.6
S10748,2028,Spring,ECON210,71.1
S12413,2037,Fall,PSY101,80.7
S12363,2036,Spring,MATH101,95.6
S10702,2028,Fall,HIST205,70.4
S12155,2035,Spring,CHEM120,80.4
S12822,2039,Summer,CHEM120,90.3
S12972,2039,Summer,CS150,79.7
S11683,2033,Summer,ECON210,85.3
S12281,2036,Summer,ENG201,81.2
S12806,2039,Summer,CHEM120,90.0
S10584,2027,Fall,CS150,76.1
S11982,2034,Fall,BIO110,79.0
S12034,2035,Summer,ENG201,93.8
S12719,2038,Summer,PSY101,90.3
S11931,2034,Summer,CHEM120,88.0
S12417,2037,Fall,ECON210,90.7
S12969,2039,Fall,BIO110,92.8
S12607,2038,Fall,PSY101,71.7
S13064,2040,Fall,CS150,79.9
S10570,2027,Fall,CS150,74.8
S12219,2036,Spring,CS150,84.7
S11759,2033,Spring,CS150,93.2
S11333,2031,Spring,MATH101,91.9
S12149,2035,Summer,HIST205,72.2
S10871,2029,Spring,MATH101,70.9
S13142,2040,Summer,BIO110,91.2
S10890,2029,Fall,HIST205,83.9
S12269,2036,Fall,ENG201,86.0
S11861,2034,Fall,HIST205,90.5
S12585,2037,Summer,HIST205,83.0
S12242,2036,Fall,ENG201,100.0
S11885,2034,Summer,ECON210,86.2
S12740,2038,Fall,ECON210,92.7
S10269,2026,Summer,PSY101,74.4
S11561,2032,Spring,ENG201,75.4
S11183,2030,Fall,MATH101,66.1
S11433,2032,Summer,CS150,76.7
S12406,2037,Fall,CS150,77.6
S11314,2031,Summer,ECON210,80.1
S12454,2037,Spring,HIST205,93.5
S10981,2029,Summer,BIO110,80.7
S12400,2037,Summer,PSY101,82.2
S13036,2040,Spring,ENG201,89.3
S12261,2036,Fall,CHEM120,89.9
S13097,2040,Fall,ENG201,96.7
S11536,2032,Fall,HIST205,85.4
S11416,2032,Fall,BIO110,81.8
S11717,2033,Spring,BIO110,84.2
S11270,2031,Fall,HIST205,88.7
S12789,2038,Spring,BIO110,90.8
S10388,2026,Spring,HIST205,80.9
S13051,2040,Spring,ENG201,86.3
S12880,2039,Spring,CHEM120,72.8
S10283,2026,Fall,BIO110,63.4
S11141,2030,Spring,ENG201,89.7
S10653,2028,Fall,ENG201,67.1
S12101,2035,Summer,ECON210,78.1
S11749,2033,Fall,BIO110,90.7
S12421,2037,Fall,BIO110,97.4
S10698,2028,Spring,ENG201,83.4
S13096,2040,Summer,BIO110,100.0
S10747,2028,Spring,ECON210,70.0
S11630,2033,Spring,CS150,86.5
S10632,2028,Summer,ENG201,74.7
S10778,2028,Summer,ENG201,75.4
S12244,2036,Summer,PSY101,99.6
S10708,2028,Summer,CS150,59.3
S12213,2036,Summer,CHEM120,83.0
S12449,2037,Summer,PSY101,82.5
S10148,2025,Fall,MATH101,76.2
S12112,2035,Summer,CS150,85.7
S11579,2032,Summer,CS150,74.9
S10955,2029,Summer,BIO110,86.3
S12997,2039,Summer,MATH101,80.7
S10414,2027,Spring,MATH101,77.3
S10597,2027,Fall,BIO110,66.8
S11662,2033,Spring,PSY101,65.7
S12548,2037,Summer,CS150,96.2
S13116,2040,Fall,PSY101,90.4
S12070,2035,Summer,BIO110,93.1
S12082,2035,Spring,HIST205,73.8
S10105,2025,Spring,BIO110,75.2
S10192,2025,Summer,CHEM120,73.7
S10374,2026,Summer,HIST205,90.6
S11918,2034,Spring,CHEM120,82.7
S11028,2030,Summer,CS150,83.6
S13112,2040,Summer,ENG201,89.6
S12198,2035,Spring,CS150,80.2
S10839,2029,Spring,HIST205,75.6
S13054,2040,Fall,CHEM120,100.0
S11480,2032,Fall,CHEM120,87.1
S12739,2038,Fall,BIO110,96.2
S10415,2027,Summer,ECON210,68.7
S12453,2037,Fall,ENG201,82.3
S10962,2029,Fall,ENG201,78.9
S12006,2035,Spring,HIST205,85.3
S12699,2038,Fall,BIO110,100.0
S13022,2040,Spring,CS150,88.7
S10564,2027,Summer,PSY101,84.3
S12668,2038,Summer,ENG201,93.8
S12222,2036,Fall,HIST205,92.6
S11578,2032,Fall,MATH101,75.5
S12049,2035,Fall,ENG201,86.6
S11112,2030,Summer,CHEM120,85.6
S11988,2034,Spring,BIO110,78.9
S12636,2038,Spring,MATH101,90.9
S11044,2030,Spring,CHEM120,77.3
S11368,2031,Summer,PSY101,76.5
S10907,2029,Fall,CS150,83.3
S10664,2028,Fall,ENG201,70.3
S10713,2028,Fall,CS150,79.2
S12780,2038,Spring,HIST205,96.3
S11083,2030,Spring,MATH101,95.3
S10243,2026,Fall,CS150,80.3
S10933,2029,Fall,HIST205,59.7
S11156,2030,Spring,CHEM120,73.2
S10825,2029,Summer,CS150,89.0
S10035,2025,Fall,HIST205,62.2
S10922,2029,Summer,HIST205,78.4
S11916,2034,Summer,MATH101,77.7
S12482,2037,Spring,BIO110,100.0
S11776,2033,Fall,HIST205,77.8
S11170,2030,Spring,BIO110,84.7
S11858,2034,Summer,ENG201,86.3
S12776,2038,Summer,PSY101,87.3
S11747,2033,Fall,MATH101,86.7
S12728,2038,Spring,CHEM120,83.4
S11053,2030,Fall,CHEM120,80.8
S11698,2033,Spring,BIO110,86.8
S11367,2031,Fall,CHEM120,72.5
S10837,2029,Summer,CHEM120,69.3
S11495,2032,Fall,ENG201,97.4
S10690,2028,Fall,ENG201,73.1
S11503,2032,Summer,BIO110,81.3
S10991,2029,Summer,PSY101,61.0
S11987,2034,Summer,CHEM120,88.1
S11551,2032,Spring,CS150,79.7
S11909,2034,Spring,CS150,85.1
S13062,2040,Fall,ENG201,91.3
S10158,2025,Summer,ENG201,62.5
S11611,2033,Fall,ENG201,70.2
S11316,2031,Fall,PSY101,71.5
S11816,2034,Spring,CS150,66.8
S10397,2026,Spring,ENG201,84.2
S10277,2026,Spring,HIST205,68.5
S12083,2035,Fall,CS150,67.0
S11052,2030,Fall,BIO110,82.6
S12856,2039,Fall,HIST205,84.9
S11030,2030,Fall,HIST205,76.6
S11100,2030,Spring,HIST205,86.7
